"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mob3b",1.06130658449435e-24,0.639320359340475,0.441,0.116,2.15063166281936e-20,"5","Mob3b"
"Sec24b",1.11548464098593e-24,0.549594484224576,0.685,0.253,2.26041807649389e-20,"5","Sec24b"
"Slc8a11",1.16882574932075e-24,0.647588809929204,0.748,0.277,2.36850849842356e-20,"5","Slc8a1"
"Rgs9",1.5291531446053e-24,0.316578217775809,0.142,0.012,3.09867593222817e-20,"5","Rgs9"
"Csf2rb2",2.14057021614415e-24,0.420174279261815,0.331,0.07,4.33765148599451e-20,"5","Csf2rb2"
"Ehf",3.12038324125791e-24,0.614706899180223,0.15,0.014,6.32314460008504e-20,"5","Ehf"
"Lrp8",3.33181174610298e-24,0.840486641446931,0.189,0.023,6.75158332230309e-20,"5","Lrp8"
"Nr4a22",4.46286174650463e-24,1.00318943030903,0.835,0.397,9.04354304311699e-20,"5","Nr4a2"
"Rassf41",5.66698484197661e-24,0.644975985878318,0.661,0.236,1.14835780837814e-19,"5","Rassf4"
"Il4i1",6.46456446510313e-24,0.678970611499851,0.22,0.032,1.3099793432085e-19,"5","Il4i1"
"Mcub1",8.56981484946293e-24,0.460995422636792,0.535,0.166,1.73658728109517e-19,"5","Mcub"
"Bach11",8.95250569920259e-24,0.744946287694784,0.677,0.254,1.81413575488641e-19,"5","Bach1"
"Sp1401",9.70211777913404e-24,0.57344837512091,0.654,0.232,1.96603714676372e-19,"5","Sp140"
"Slc35c2",1.87344841548494e-23,0.44602547928134,0.496,0.148,3.79635586913868e-19,"5","Slc35c2"
"Nostrin",1.92104170546696e-23,0.504110313523911,0.323,0.072,3.89279891195824e-19,"5","Nostrin"
"Itprid21",2.05048909060976e-23,0.517346394568513,0.488,0.149,4.15511109321161e-19,"5","Itprid2"
"Dpy19l1",3.00548170206861e-23,0.389918237051761,0.409,0.106,6.09030812107184e-19,"5","Dpy19l1"
"Lrrfip12",3.72675496497477e-23,0.884947244310161,0.929,0.501,7.55189626102488e-19,"5","Lrrfip1"
"Cdc14a1",3.98131072420641e-23,0.382692829942828,0.48,0.131,8.06772805153187e-19,"5","Cdc14a"
"Tmem50b",4.81358949167841e-23,0.36145763731856,0.417,0.113,9.75425774593712e-19,"5","Tmem50b"
"Srgn1",5.23421483018439e-23,0.778864378901975,0.992,0.76,1.06066129318856e-18,"5","Srgn"
"Prr5l1",5.60290415586295e-23,0.350211529824519,0.331,0.072,1.13537249814407e-18,"5","Prr5l"
"Cd92",5.61345839589616e-23,0.54036336590216,0.677,0.252,1.1375112093444e-18,"5","Cd9"
"Arf2",5.6729002415377e-23,0.389140765846637,0.449,0.127,1.1495565049452e-18,"5","Arf2"
"1110002J07Rik",6.6625300010401e-23,0.512554497167205,0.205,0.029,1.35009507941077e-18,"5","1110002J07Rik"
"Marcks2",7.04964154781025e-23,0.75802296422255,0.85,0.352,1.42853936324827e-18,"5","Marcks"
"Khk1",8.41658398210842e-23,0.312351569389966,0.465,0.134,1.70553657813445e-18,"5","Khk"
"Chp11",1.01681029029179e-22,0.498676835634271,0.598,0.211,2.06046437224727e-18,"5","Chp1"
"Hfe2",1.07431236798315e-22,0.655206564085442,0.535,0.184,2.17698658248106e-18,"5","Hfe"
"Actg1",1.12307958927386e-22,0.717937338844039,1,0.919,2.27580847970455e-18,"5","Actg1"
"Grm8",1.15123073592952e-22,1.45954875029083,0.102,0.006,2.33285396328759e-18,"5","Grm8"
"Plekho11",1.53481591294592e-22,0.461675214271675,0.795,0.304,3.11015096599361e-18,"5","Plekho1"
"Dot1l",1.88652827354658e-22,0.445510804033676,0.622,0.218,3.8228608935148e-18,"5","Dot1l"
"Pde4b1",1.99315893807722e-22,0.960767256783512,0.921,0.505,4.03893727211967e-18,"5","Pde4b"
"Kdm4a",3.5228964719294e-22,0.370068335878798,0.323,0.07,7.13879741071774e-18,"5","Kdm4a"
"Cd1802",4.86796640829544e-22,0.691496001072983,0.543,0.187,9.86444712976988e-18,"5","Cd180"
"Specc1l1",4.93024051903366e-22,0.642083600376626,0.717,0.282,9.99063938776981e-18,"5","Specc1l"
"Gm177491",5.08704623815777e-22,0.816314788376206,0.591,0.22,1.03083904970029e-17,"5","Gm17749"
"Ifitm31",5.19757486410332e-22,1.19001227219223,0.795,0.364,1.0532365704619e-17,"5","Ifitm3"
"Meaf6",5.49732135955912e-22,0.258550795561904,0.512,0.155,1.11397720030106e-17,"5","Meaf6"
"Sub12",5.92576936931579e-22,0.832056203558314,0.969,0.708,1.20079790499815e-17,"5","Sub1"
"Pus10",6.34595931353371e-22,0.491827860021589,0.425,0.119,1.28594519529447e-17,"5","Pus10"
"Fgfr1op",6.37711728631882e-22,0.255748981876754,0.339,0.076,1.29225904689965e-17,"5","Fgfr1op"
"Zyx2",6.46258662936002e-22,0.537820761838166,0.772,0.321,1.30957855457351e-17,"5","Zyx"
"H2afz",7.1770146993159e-22,0.866675605080265,0.976,0.814,1.45435025866937e-17,"5","H2afz"
"H2-DMb21",7.44287239693094e-22,0.343949819891092,0.37,0.086,1.50822366251408e-17,"5","H2-DMb2"
"Cyth41",8.81511410015449e-22,0.721486028359952,0.866,0.423,1.78629472125531e-17,"5","Cyth4"
"Lactb",9.67767255016546e-22,0.627072252291497,0.567,0.203,1.96108356556553e-17,"5","Lactb"
"Med13l1",1.11651954127024e-21,0.618544098828794,0.811,0.352,2.26251519843001e-17,"5","Med13l"
"Cd862",1.34043354157909e-21,0.914434587195594,0.732,0.319,2.71625452865587e-17,"5","Cd86"
"Acvrl11",1.39800716110601e-21,0.369070315613674,0.441,0.129,2.83292171126522e-17,"5","Acvrl1"
"Ptpn2",1.40916512492449e-21,0.742660029039812,0.709,0.292,2.85553220914698e-17,"5","Ptpn2"
"Chn21",1.48577525743858e-21,0.456373615343502,0.63,0.221,3.01077498167355e-17,"5","Chn2"
"2310058D17Rik",1.5182510417512e-21,0.329472347709873,0.268,0.05,3.07658391100463e-17,"5","2310058D17Rik"
"Asap1",1.5942971986558e-21,0.631725694724428,0.811,0.37,3.23068384335612e-17,"5","Asap1"
"Snhg15",1.96864976743685e-21,0.370456703582085,0.528,0.165,3.98927188873403e-17,"5","Snhg15"
"Marcksl11",2.33916960282904e-21,0.835659538476524,0.622,0.238,4.74009328317277e-17,"5","Marcksl1"
"Gtpbp41",2.63974853114307e-21,0.419227244309438,0.677,0.253,5.34918642350832e-17,"5","Gtpbp4"
"Nucb2",2.78227764616414e-21,0.660568243655757,0.441,0.134,5.638007422187e-17,"5","Nucb2"
"Cd472",2.89666911596142e-21,0.744063178215473,0.929,0.588,5.86981029658422e-17,"5","Cd47"
"Sh3bgrl",3.53374251673652e-21,0.575676504684536,0.787,0.351,7.16077583591489e-17,"5","Sh3bgrl"
"Slk1",4.04875410424044e-21,0.586533256027192,0.74,0.317,8.20439531683283e-17,"5","Slk"
"Herpud1",4.12929598747329e-21,0.801073822976393,0.685,0.297,8.36760538901588e-17,"5","Herpud1"
"1810020O05Rik",4.50779285386477e-21,0.315196457348459,0.15,0.016,9.13459143907157e-17,"5","1810020O05Rik"
"Limd11",4.95601395014511e-21,0.464476365216391,0.646,0.243,1.0042866668574e-16,"5","Limd1"
"Spi12",6.22483221949894e-21,0.614849060472312,0.866,0.386,1.26140000095926e-16,"5","Spi1"
"Elp5",6.63738854440218e-21,0.41353578206165,0.52,0.176,1.34500041463766e-16,"5","Elp5"
"Actb",6.78371648969463e-21,0.643521489367281,1,0.973,1.37465230947172e-16,"5","Actb"
"Hsd17b11",7.23825277973861e-21,0.687871940062857,0.551,0.206,1.46675954328623e-16,"5","Hsd17b11"
"Mthfd2",8.5603902480565e-21,0.384076502098207,0.52,0.167,1.73467747986617e-16,"5","Mthfd2"
"Trappc5",9.52273329466699e-21,0.428824411898267,0.535,0.182,1.92968667483132e-16,"5","Trappc5"
"Adam81",1.03282365628703e-20,0.346665135425195,0.449,0.127,2.09291385710004e-16,"5","Adam8"
"Clec12a2",1.05843785198373e-20,0.340080281444641,0.677,0.247,2.14481846325982e-16,"5","Clec12a"
"Mbtd11",1.88881968406889e-20,0.678223133433226,0.827,0.392,3.82750420779719e-16,"5","Mbtd1"
"Plp2",2.10780202556447e-20,0.334253990736739,0.425,0.121,4.27125002460384e-16,"5","Plp2"
"Aftph",2.35402702935097e-20,0.615288162905104,0.748,0.32,4.77020037227681e-16,"5","Aftph"
"Got11",2.43078156592769e-20,0.619418323999431,0.724,0.33,4.92573576519587e-16,"5","Got1"
"Fbxo111",2.96061176191917e-20,0.83139433780783,0.906,0.503,5.999383674353e-16,"5","Fbxo11"
"Ppp1r2",4.41998452271216e-20,0.383347572585577,0.677,0.271,8.95665663682393e-16,"5","Ppp1r2"
"Arl31",5.07780826125412e-20,0.252641013389664,0.559,0.19,1.02896706606053e-15,"5","Arl3"
"Pip4k2a",7.42359863979283e-20,0.574401278315029,0.882,0.409,1.50431802836762e-15,"5","Pip4k2a"
"Snx91",9.00030713834996e-20,0.604460991798192,0.654,0.263,1.82382223851524e-15,"5","Snx9"
"Mthfsl",1.00031426808016e-19,0.726920934692135,0.567,0.217,2.02703683283763e-15,"5","Mthfsl"
"Map4k4",1.10592151549454e-19,1.15004239278183,0.748,0.386,2.24103935899814e-15,"5","Map4k4"
"Nrg2",1.11165272463479e-19,0.268308937137513,0.22,0.038,2.25265308119993e-15,"5","Nrg2"
"Dna2",1.1209884810027e-19,0.265663252116742,0.276,0.06,2.27157105790388e-15,"5","Dna2"
"Dbnl",1.23518118931692e-19,0.430283131194105,0.717,0.297,2.50297116203181e-15,"5","Dbnl"
