"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Xist",0,1.0126022628897,0.944,0.606,0,"0","Xist"
"Mmp2",0,1.01139910485503,0.587,0.053,0,"0","Mmp2"
"Selenom",0,1.0102877880352,0.772,0.257,0,"0","Selenom"
"Thsd4",0,1.00630944411819,0.511,0.095,0,"0","Thsd4"
"Fstl1",0,1.00526213006412,0.673,0.102,0,"0","Fstl1"
"Auts2",0,1.00244350526103,0.95,0.534,0,"0","Auts2"
"Kcnab1",0,0.998235222063116,0.448,0.139,0,"0","Kcnab1"
"2410006H16Rik",0,0.996959262756407,0.816,0.516,0,"0","2410006H16Rik"
"Bnc2",0,0.979837814527598,0.878,0.414,0,"0","Bnc2"
"Igfbp4",0,0.978659781001965,0.652,0.187,0,"0","Igfbp4"
"Nrg2",0,0.978603028139065,0.489,0.076,0,"0","Nrg2"
"Mrvi1",0,0.978303189211622,0.579,0.052,0,"0","Mrvi1"
"Col6a2",0,0.977464961239404,0.595,0.083,0,"0","Col6a2"
"Adam12",0,0.971866807589266,0.416,0.078,0,"0","Adam12"
"Mir100hg",0,0.969287051962805,0.552,0.082,0,"0","Mir100hg"
"Col4a4",0,0.96890487059216,0.467,0.099,0,"0","Col4a4"
"Frem1",0,0.965103593112835,0.519,0.023,0,"0","Frem1"
"Zfp36l1",0,0.963958275285646,0.862,0.517,0,"0","Zfp36l1"
"Nfix",0,0.95846398762363,0.829,0.375,0,"0","Nfix"
"Gas5",0,0.955259053155298,0.924,0.642,0,"0","Gas5"
"Lgals1",0,0.941800872951494,0.827,0.487,0,"0","Lgals1"
"Cd63",0,0.927593417172687,0.925,0.513,0,"0","Cd63"
"Angpt1",0,0.927511050580616,0.435,0.044,0,"0","Angpt1"
"Col4a2",0,0.925826668584412,0.732,0.23,0,"0","Col4a2"
"Actr3b",0,0.925460944607967,0.571,0.156,0,"0","Actr3b"
"Nrp2",0,0.920239281731148,0.732,0.239,0,"0","Nrp2"
"Nlgn1",0,0.913476821507367,0.257,0.038,0,"0","Nlgn1"
"Robo2",0,0.911863902740609,0.631,0.227,0,"0","Robo2"
"Gnai1",0,0.909094483877215,0.586,0.203,0,"0","Gnai1"
"Col4a1",0,0.90865528483564,0.763,0.238,0,"0","Col4a1"
"Cdk14",0,0.908367604942161,0.677,0.177,0,"0","Cdk14"
"Ncald",0,0.906234538026381,0.564,0.137,0,"0","Ncald"
"Grb10",0,0.904325361880347,0.645,0.161,0,"0","Grb10"
"Emilin1",0,0.90367182783486,0.564,0.069,0,"0","Emilin1"
"Nbl1",0,0.902042657585836,0.562,0.171,0,"0","Nbl1"
"Naaladl2",0,0.892664407376336,0.648,0.273,0,"0","Naaladl2"
"Enpep",0,0.892200071275049,0.325,0.029,0,"0","Enpep"
"Col5a2",0,0.891617878430475,0.556,0.104,0,"0","Col5a2"
"Ccdc141",0,0.88616829288221,0.564,0.12,0,"0","Ccdc141"
"Ddr2",0,0.886031737675506,0.626,0.136,0,"0","Ddr2"
"Ifitm1",0,0.885249862621255,0.539,0.088,0,"0","Ifitm1"
"Fgl2",0,0.88499368427703,0.57,0.084,0,"0","Fgl2"
"Itm2a",0,0.884946765877865,0.575,0.207,0,"0","Itm2a"
"Gulp1",0,0.871243704080485,0.651,0.198,0,"0","Gulp1"
"Lamb1",0,0.863380139242907,0.706,0.243,0,"0","Lamb1"
"Col5a1",0,0.862246285696711,0.55,0.078,0,"0","Col5a1"
"Ndrg2",0,0.853757806507629,0.681,0.237,0,"0","Ndrg2"
"Gm17167",0,0.851835147928482,0.46,0.05,0,"0","Gm17167"
"Sparc",0,0.843454351347384,0.917,0.459,0,"0","Sparc"
"Pknox2",0,0.842584839432216,0.699,0.283,0,"0","Pknox2"
"Mmp14",0,0.834726856656297,0.712,0.297,0,"0","Mmp14"
"Ppic",0,0.833049139642516,0.712,0.335,0,"0","Ppic"
"Adamts12",0,0.832538813489547,0.526,0.109,0,"0","Adamts12"
"Ifitm2",0,0.828246080810815,0.885,0.532,0,"0","Ifitm2"
"Rhoj",0,0.828159613421411,0.66,0.114,0,"0","Rhoj"
"Gli2",0,0.826555015222807,0.516,0.07,0,"0","Gli2"
"Htra3",0,0.818659755179218,0.486,0.072,0,"0","Htra3"
"Islr",0,0.817709975608452,0.46,0.026,0,"0","Islr"
"Dpysl3",0,0.81576347228801,0.743,0.282,0,"0","Dpysl3"
"Adgrl2",0,0.809275250996143,0.717,0.304,0,"0","Adgrl2"
"Lrrc17",0,0.808881531885858,0.465,0.024,0,"0","Lrrc17"
