"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chmp4c",2.42700824455073e-56,0.325990001536969,0.275,0.004,4.91808950675759e-52,"2","Chmp4c"
"Parm1",2.82281449429727e-56,0.579108062647516,0.406,0.05,5.72015129124399e-52,"2","Parm1"
"Wt1",3.30915579673191e-56,1.34937997221349,0.798,0.436,6.70567330649755e-52,"2","Wt1"
"Myof",3.84447086539237e-56,0.762136948996411,0.494,0.099,7.79043576163109e-52,"2","Myof"
"Wnt9a",4.46752123796929e-56,0.783189339392666,0.43,0.068,9.05298503662098e-52,"2","Wnt9a"
"Axin2",4.74394921954276e-56,0.696520867244507,0.433,0.067,9.61313869848146e-52,"2","Axin2"
"Gm45716",4.97859709714686e-56,0.546157708149564,0.406,0.058,1.00886291576584e-51,"2","Gm45716"
"Dpyd",5.01277562315861e-56,0.661650605521032,0.421,0.057,1.01578885227686e-51,"2","Dpyd"
"Daam1",5.82532026624828e-56,1.33442321831485,0.673,0.288,1.18044289875255e-51,"2","Daam1"
"Hoxc4",5.90408307684301e-56,0.383995698205239,0.336,0.025,1.19640339469147e-51,"2","Hoxc4"
"Wdr35",6.73746287851215e-56,0.298075801930221,0.327,0.022,1.3652794777017e-51,"2","Wdr35"
"Myh14",7.17717474998674e-56,0.411061610075413,0.26,0.001,1.45438269133731e-51,"2","Myh14"
"Edn2",7.31208718309871e-56,0.327238811814946,0.26,0.001,1.48172134678312e-51,"2","Edn2"
"Zfp579",8.43992625309943e-56,0.573635209012173,0.468,0.092,1.71026665592807e-51,"2","Zfp579"
"Angpt2",1.39582054874688e-55,1.01205428214787,0.541,0.128,2.82849075998068e-51,"2","Angpt2"
"Hook1",2.35789427802325e-55,0.293509655783746,0.292,0.01,4.77803696498632e-51,"2","Hook1"
"Vnn1",2.86718100025978e-55,0.287471686245063,0.275,0.006,5.81005557892641e-51,"2","Vnn1"
"Slc27a1",4.06851737492781e-55,0.485592394852616,0.453,0.079,8.24444360855371e-51,"2","Slc27a1"
"Doc2b",4.28310372666731e-55,0.449068542028402,0.374,0.042,8.67928139171863e-51,"2","Doc2b"
"Nudt17",1.15002660129349e-54,0.367031176900994,0.333,0.025,2.33041390486112e-50,"2","Nudt17"
"Mia",2.3413248996996e-54,0.547029140516339,0.249,0,4.74446077675128e-50,"2","Mia"
"Camsap3",3.00393866493887e-54,0.337342590676958,0.278,0.008,6.08718131063212e-50,"2","Camsap3"
"Trp53bp2",7.3281406008768e-54,0.947980989097481,0.544,0.149,1.48497441136168e-49,"2","Trp53bp2"
"Nr0b2",7.94315326423764e-54,0.594160345142616,0.368,0.042,1.60960057746512e-49,"2","Nr0b2"
"Ccdc107",9.96184244958952e-54,1.12162657258184,0.611,0.232,2.01866775398482e-49,"2","Ccdc107"
"Rgs11",1.14592139268298e-53,0.378712007196005,0.295,0.014,2.32209511013279e-49,"2","Rgs11"
"Mical2",1.20714883596152e-53,1.07964463013904,0.626,0.201,2.44616640119243e-49,"2","Mical2"
"Mmp23",1.28497708664438e-53,0.515236032514761,0.371,0.041,2.60387756837618e-49,"2","Mmp23"
"Fam241b",1.80478356588805e-53,0.34813663542647,0.292,0.013,3.65721341791555e-49,"2","Fam241b"
"Dock7",1.87907512334055e-53,0.707143322028435,0.518,0.117,3.80775782993729e-49,"2","Dock7"
"Tulp2",2.01618737144751e-53,0.418168821382862,0.427,0.068,4.08560208950124e-49,"2","Tulp2"
"Wfdc1",2.98840148886423e-53,0.607663738329447,0.433,0.067,6.05569677703448e-49,"2","Wfdc1"
"Pip5k1b",3.32746043024892e-53,0.904028768147802,0.535,0.138,6.74276581585641e-49,"2","Pip5k1b"
"Atp5g3",4.37942362979824e-53,1.54299575606508,0.789,0.573,8.87446404342315e-49,"2","Atp5g3"
"Snhg181",4.42611985915632e-53,0.424342937538139,0.523,0.118,8.96908928259436e-49,"2","Snhg18"
"Pbx1",4.48345536494297e-53,1.27776493888654,0.825,0.549,9.08527395152044e-49,"2","Pbx1"
"Magi1",4.69548314428929e-53,1.26455876579794,0.898,0.689,9.51492704358782e-49,"2","Magi1"
