"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sdc2",1.28009530623217e-65,0.890863386925588,0.547,0.108,2.59398512854887e-61,"2","Sdc2"
"Gm10115",1.86144639644964e-65,0.322415678650556,0.319,0.006,3.77203497776554e-61,"2","Gm10115"
"Sdr42e1",2.18481382421771e-65,0.442438413534354,0.327,0.009,4.42730673339476e-61,"2","Sdr42e1"
"Myl1",2.38955989441524e-65,0.689584766761889,0.325,0.008,4.84220417004304e-61,"2","Myl1"
"Acaa2",2.43111003155658e-65,1.99207676648558,0.713,0.34,4.92640136794625e-61,"2","Acaa2"
"Plekha7",3.02746241962696e-65,0.708364219025436,0.456,0.058,6.13484984713207e-61,"2","Plekha7"
"A730046J19Rik",4.51375629712807e-65,0.310752793681217,0.295,0,9.14667576050031e-61,"2","A730046J19Rik"
"Pdgfc",7.92847880604673e-65,0.397637876357231,0.386,0.026,1.60662694525731e-60,"2","Pdgfc"
"Wls",8.37601559920298e-65,1.61855255088102,0.725,0.343,1.69731580102249e-60,"2","Wls"
"Mtcl1",8.83040894220257e-65,0.552686346861304,0.427,0.044,1.78939406804793e-60,"2","Mtcl1"
"Slpi",1.05498954973369e-64,0.858917322627701,0.333,0.011,2.13783082358034e-60,"2","Slpi"
"C1s1",1.22693890744768e-64,0.889503766960021,0.488,0.077,2.48626900205199e-60,"2","C1s1"
"Strip2",1.31410784931322e-64,0.491716732784704,0.333,0.011,2.66290814584831e-60,"2","Strip2"
"Dtna",1.63663064839234e-64,0.51103840858166,0.319,0.007,3.31646834590225e-60,"2","Dtna"
"Gas6",2.44653429083775e-64,1.18742124169067,0.711,0.222,4.95765708695361e-60,"2","Gas6"
"Epb41l5",2.61008364299078e-64,0.599855208529467,0.518,0.092,5.28907349415652e-60,"2","Epb41l5"
"Hdac11",3.8664603118898e-64,0.35096001509618,0.351,0.018,7.83499517601349e-60,"2","Hdac11"
"Sox9",4.08507464373867e-64,0.653002984747522,0.38,0.03,8.27799525807205e-60,"2","Sox9"
"Stum",6.97541938129314e-64,0.822164030841848,0.471,0.07,1.41349898342524e-59,"2","Stum"
"Cobl",7.06943187346516e-64,0.605578570792661,0.38,0.029,1.43254967483898e-59,"2","Cobl"
"Ank3",8.34283329051097e-64,0.794890763272043,0.538,0.095,1.69059173798914e-59,"2","Ank3"
"Asic2",9.52069474153887e-64,0.68341983168074,0.392,0.031,1.92927358242544e-59,"2","Asic2"
"Epb41l1",1.26619042109948e-63,0.67549748984106,0.447,0.061,2.56580826931599e-59,"2","Epb41l1"
"Shisa6",1.5163185282791e-63,0.769125762837405,0.354,0.019,3.07266786570477e-59,"2","Shisa6"
"Boc",1.74891141284961e-63,0.897855983499561,0.485,0.078,3.54399408699845e-59,"2","Boc"
"Sema4b",1.75369511712281e-63,0.713600335152791,0.45,0.061,3.55368778533767e-59,"2","Sema4b"
"Mapkapk3",2.2220610039677e-63,0.499189479513936,0.439,0.052,4.50278441844015e-59,"2","Mapkapk3"
"Unc45b",2.43243114588349e-63,1.39355681775176,0.67,0.262,4.92907847401831e-59,"2","Unc45b"
"Wdr17",5.05988384394437e-63,1.59620726143995,0.535,0.099,1.02533486213689e-58,"2","Wdr17"
"Cfap161",6.24128695700971e-63,0.357289170082256,0.351,0.018,1.26473438896845e-58,"2","Cfap161"
"A530020G20Rik",6.42562352987749e-63,0.409343480954855,0.322,0.01,1.30208835209438e-58,"2","A530020G20Rik"
"Cldn10",6.84935921617411e-63,0.573528438421869,0.322,0.01,1.38795415156552e-58,"2","Cldn10"
"Dio3os",1.42197470662496e-62,0.400539238586179,0.322,0.01,2.88148954550481e-58,"2","Dio3os"
"Plxdc2",1.65348791505458e-62,1.20497385436068,0.708,0.227,3.3506279110666e-58,"2","Plxdc2"
"Smarcd3",3.4860734971851e-62,0.569125973049153,0.485,0.084,7.06417933469589e-58,"2","Smarcd3"
"Anxa9",3.62426505919362e-62,0.302480519167423,0.31,0.008,7.34421071594996e-58,"2","Anxa9"
"Scx",4.04152624660263e-62,0.269156242751086,0.33,0.012,8.18974878611557e-58,"2","Scx"
"Epha7",4.17397739935809e-62,0.543972824336937,0.336,0.015,8.45814780205923e-58,"2","Epha7"
"Ap1s3",4.17835960692618e-62,0.542132749465051,0.383,0.031,8.46702790747521e-58,"2","Ap1s3"
"Ptgds",8.16584046049587e-62,0.349542046754191,0.289,0.002,1.65472591091488e-57,"2","Ptgds"
"Fam234a",1.20985759705246e-61,0.873127015222458,0.535,0.12,2.4516554346671e-57,"2","Fam234a"
"Frrs1",1.2614747237607e-61,0.504364837785814,0.418,0.05,2.55625238022869e-57,"2","Frrs1"
"Cep170b",1.41375198784098e-61,0.47875697500432,0.327,0.014,2.86482702816095e-57,"2","Cep170b"
"Tmem8",2.11787993306792e-61,0.429218516466102,0.307,0.007,4.29167189636883e-57,"2","Tmem8"
"Gucy1a1",2.16056847120444e-61,0.865140923051356,0.55,0.11,4.37817595004867e-57,"2","Gucy1a1"
"Npc1",2.55329526606176e-61,0.931681919955869,0.541,0.126,5.17399752714756e-57,"2","Npc1"
