"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hs3st3a1",4.32604812970485e-36,0.281150047734578,0.223,0.069,8.76630393003392e-32,"2","Hs3st3a1"
"Hpcal1",1.6928148227667e-35,0.941743731686763,0.521,0.385,3.43031995685444e-31,"2","Hpcal1"
"Arhgap31",2.06306713191923e-35,0.930017278623362,0.748,0.664,4.18059923612113e-31,"2","Arhgap31"
"Scube1",2.27130206536737e-35,0.644720358401414,0.406,0.214,4.60256650526043e-31,"2","Scube1"
"Sgms1",6.16013139366112e-35,0.842073329067158,0.708,0.623,1.24828902561149e-30,"2","Sgms1"
"Dtnb",6.46769836082351e-35,0.867335663525204,0.614,0.507,1.31061439583728e-30,"2","Dtnb"
"App",5.29068356404332e-34,0.950568985741116,0.65,0.556,1.07210411741774e-29,"2","App"
"Fmnl2",1.2463005153538e-33,0.839442111658389,0.747,0.666,2.52550336431295e-29,"2","Fmnl2"
"A330076H08Rik",1.55285808800982e-33,0.264586973289433,0.19,0.055,3.1467116295431e-29,"2","A330076H08Rik"
"Dach1",9.67483864178125e-33,0.889576057542442,0.488,0.319,1.96050930237055e-28,"2","Dach1"
"Hecw2",1.02711667254062e-32,0.990688659594835,0.598,0.465,2.08134922523632e-28,"2","Hecw2"
"Mettl24",3.39024182216856e-32,0.458700216491358,0.335,0.155,6.86998602844237e-28,"2","Mettl24"
"Hunk",3.49130138912412e-32,0.475397875782347,0.315,0.144,7.07477313492112e-28,"2","Hunk"
"Adgrl2",4.0426237633997e-32,0.818157164855373,0.476,0.298,8.19197279415316e-28,"2","Adgrl2"
"Grip1",4.60386320324094e-32,0.938880334078313,0.488,0.304,9.32926839504744e-28,"2","Grip1"
"Mboat2",1.09631547692492e-31,0.680146321854053,0.774,0.701,2.22157368244066e-27,"2","Mboat2"
"Xylt1",1.51612660738045e-31,0.896665247828777,0.464,0.297,3.07227895719574e-27,"2","Xylt1"
"Ppm1l1",2.07357895030739e-31,0.907691245991315,0.571,0.43,4.20190038490289e-27,"2","Ppm1l"
"9530026P05Rik1",3.13861372768696e-31,0.942596757402106,0.621,0.486,6.36008685778486e-27,"2","9530026P05Rik"
"Lrp4",7.60518019283318e-31,0.481478362025622,0.312,0.145,1.54111371427572e-26,"2","Lrp4"
"Tenm41",1.42273394181613e-30,0.391391501006351,0.949,0.862,2.8830280596962e-26,"2","Tenm4"
"Zfpm21",1.52003372583687e-30,0.52721968432652,0.849,0.753,3.08019634203583e-26,"2","Zfpm2"
"Gpc4",1.83732585868019e-30,1.0704037672038,0.624,0.538,3.72315712002954e-26,"2","Gpc4"
"Ctnna2",2.05582990899263e-30,0.707631213469758,0.63,0.448,4.16593372758267e-26,"2","Ctnna2"
"Adcy2",3.46938105044555e-30,0.396700197398343,0.214,0.073,7.03035376062286e-26,"2","Adcy2"
"Rtn4rl1",5.09237238134433e-30,0.272049457640417,0.224,0.08,1.03191833935561e-25,"2","Rtn4rl1"
"Foxp11",3.0870634516428e-29,0.582260889970865,0.883,0.819,6.25562537840897e-25,"2","Foxp1"
"mt-Cytb",4.13367317214295e-29,0.404181280541767,0.962,0.949,8.37647531603048e-25,"2","mt-Cytb"
"Msi21",8.24152677275993e-29,0.521051997298789,0.899,0.83,1.67006298523207e-24,"2","Msi2"
"Celsr1",1.0504598218619e-28,0.373272836166333,0.309,0.144,2.12865178302096e-24,"2","Celsr1"
"Tmem35a",1.73428683935632e-28,0.317966894659971,0.295,0.134,3.51435885127164e-24,"2","Tmem35a"
"Gm29684",2.85395828712008e-28,0.333493821493652,0.264,0.111,5.78326107302014e-24,"2","Gm29684"
"Gm14226",3.85780899905979e-28,0.301557154428198,0.287,0.128,7.81746415569475e-24,"2","Gm14226"
"Phactr2",2.12520074645884e-27,1.02719615613516,0.641,0.539,4.30650679262419e-23,"2","Phactr2"
"Col6a1",2.97878413945722e-27,0.418760932376704,0.335,0.169,6.03620818019612e-23,"2","Col6a1"
"Cyp7b1",3.42790571382989e-27,0.322838511160282,0.249,0.103,6.9463081385049e-23,"2","Cyp7b1"
"Colec12",3.48925463215035e-27,0.697378880745384,0.32,0.161,7.07062558658946e-23,"2","Colec12"
"St3gal6",3.71029980807931e-27,0.860018571071025,0.479,0.327,7.51855153109192e-23,"2","St3gal6"
"Disp1",1.30024362625887e-26,0.786082142488623,0.482,0.348,2.63481368425097e-22,"2","Disp1"
"Kif26b",2.622798083836e-26,0.61706846035863,0.273,0.124,5.31483803708526e-22,"2","Kif26b"
"Fxyd6",3.6172160057862e-26,0.497776396147436,0.339,0.186,7.32992651412515e-22,"2","Fxyd6"
"Vcan",3.95266895013968e-26,0.816517507187606,0.585,0.442,8.00968836056305e-22,"2","Vcan"
"Znrf3",4.59038289655221e-26,0.785811266590476,0.642,0.56,9.3019519015734e-22,"2","Znrf3"
"Nrbp2",4.46450809874678e-25,0.424407638864056,0.333,0.181,9.04687921130047e-21,"2","Nrbp2"
"Sned1",5.795375708949e-25,0.747589881496624,0.51,0.383,1.17437493366142e-20,"2","Sned1"
"B4galt5",5.97264656552408e-25,0.47563437806353,0.344,0.192,1.2102971000378e-20,"2","B4galt5"
"Cgn",6.22784374953617e-25,0.259115635173747,0.293,0.142,1.26201025740601e-20,"2","Cgn"
"Gata4",8.26419846786273e-25,0.831547279060155,0.598,0.517,1.6746571775277e-20,"2","Gata4"
"Sdc4",1.05762647289778e-24,0.802547396678443,0.579,0.497,2.14317428468006e-20,"2","Sdc4"
"Adgrg3",1.08550952931619e-24,0.365321054579739,0.215,0.084,2.19967651020632e-20,"2","Adgrg3"
"Hdac4",1.10558190574683e-24,0.819741956220687,0.641,0.578,2.24035117380537e-20,"2","Hdac4"
"Myo1b",1.43803453188088e-24,0.766435957592265,0.677,0.618,2.91403317540342e-20,"2","Myo1b"
"Ppp1r9a1",1.4888570924328e-24,0.604389574024486,0.72,0.664,3.01702001210583e-20,"2","Ppp1r9a"
"Dock9",1.87644374836983e-24,0.664386152934261,0.75,0.693,3.80242561169663e-20,"2","Dock9"
"Adgrf5",2.26437501620727e-24,0.810567783938929,0.462,0.335,4.5885295328424e-20,"2","Adgrf5"
"Myo1e1",3.84162497897864e-24,0.80121875559133,0.776,0.722,7.78466885740232e-20,"2","Myo1e"
"Sh3tc2",5.68264815014696e-24,0.510087253228273,0.346,0.196,1.15153182114578e-19,"2","Sh3tc2"
"Fbxo21",9.0901764411257e-24,0.804333962494603,0.465,0.362,1.84203335402971e-19,"2","Fbxo21"
"Ctnnal1",9.89049192755938e-24,0.791845369399453,0.481,0.358,2.00420928420063e-19,"2","Ctnnal1"
"Tcf12",1.30753077653887e-23,0.615807091916185,0.737,0.706,2.64958036557836e-19,"2","Tcf12"
"Rab27b",1.74983650573531e-23,0.388865077367055,0.292,0.145,3.54586869522203e-19,"2","Rab27b"
"Cacna1d",2.12659746620582e-23,0.882486579751233,0.484,0.343,4.30933710551947e-19,"2","Cacna1d"
"Rin21",2.35205658143352e-23,0.766294141353608,0.464,0.313,4.76620745661688e-19,"2","Rin2"
"Dok61",3.29816865500403e-23,0.774525969759365,0.513,0.376,6.68340896250017e-19,"2","Dok6"
"Ano4",7.11455465732715e-23,0.611275183405607,0.776,0.647,1.44169335576077e-18,"2","Ano4"
"Smad3",1.72535484827206e-22,1.05459877362488,0.555,0.475,3.49625906453851e-18,"2","Smad3"
"Pla2g1b",4.40289955399891e-22,0.257064267119548,0.289,0.148,8.92203565622338e-18,"2","Pla2g1b"
"Tenm3",4.4939382729592e-22,1.09168049823858,0.453,0.316,9.10651651632453e-18,"2","Tenm3"
"Arhgap26",5.51362609987943e-22,0.818074618885734,0.488,0.371,1.11728119287957e-17,"2","Arhgap26"
"Tyro3",6.06476265220248e-22,0.327306662336686,0.286,0.146,1.22896350384231e-17,"2","Tyro3"
"Ncald",7.2621898025713e-22,0.320204285752821,0.284,0.141,1.47161014159305e-17,"2","Ncald"
"Aftph",8.95311771955288e-22,0.71065607963686,0.599,0.526,1.81425977469019e-17,"2","Aftph"
"Rnf182",1.02115499064123e-21,0.307644792972814,0.255,0.12,2.06926847303538e-17,"2","Rnf182"
"Syne21",1.40948822005949e-21,0.422398959612721,0.882,0.845,2.85618692912855e-17,"2","Syne2"
"Gucy1a1",1.45693733335371e-21,0.264597461337921,0.327,0.182,2.95233781230795e-17,"2","Gucy1a1"
"Erc1",1.64610881423897e-21,0.731892342990298,0.645,0.602,3.33567490117386e-17,"2","Erc1"
"Slc23a2",2.32180269184752e-21,0.768372904359774,0.504,0.414,4.70490097475981e-17,"2","Slc23a2"
"Smg6",8.80012508271889e-21,0.603169325510468,0.714,0.691,1.78325734676216e-16,"2","Smg6"
"Arhgap29",1.65952694144863e-20,0.695351136797044,0.625,0.622,3.3628653941515e-16,"2","Arhgap29"
"Pard3b",5.57498560361479e-20,0.703466329742437,0.544,0.449,1.1297150827165e-15,"2","Pard3b"
"Adgrg1",6.33816515107463e-20,0.662986196883854,0.584,0.492,1.28436578621376e-15,"2","Adgrg1"
"Emx2",7.51017304514263e-20,0.508977176625977,0.39,0.268,1.5218614658677e-15,"2","Emx2"
"mt-Nd5",1.4986711624835e-19,0.412771930258405,0.873,0.867,3.03690724365656e-15,"2","mt-Nd5"
"Svil",2.63244109780246e-19,0.750934115943534,0.55,0.473,5.3343786405869e-15,"2","Svil"
"Ago3",5.86842565225152e-19,0.811716785677138,0.576,0.521,1.18917777417225e-14,"2","Ago3"
"Emx2os",6.25777465855748e-19,0.308772124212882,0.263,0.139,1.26807545681009e-14,"2","Emx2os"
"Ctnnd1",7.06909041481227e-19,0.615713710319871,0.667,0.653,1.43248048165756e-14,"2","Ctnnd1"
"Cacna1h",7.90545520364788e-19,0.283591721045055,0.227,0.103,1.60196144246721e-14,"2","Cacna1h"
"Immp2l",8.33538471251867e-19,0.734531474985184,0.551,0.455,1.68908235814478e-14,"2","Immp2l"
"Zbtb201",1.07353660293136e-18,0.294625535232034,0.929,0.883,2.17541457218011e-14,"2","Zbtb20"
"Smoc11",1.34049318042339e-18,0.6654851608799,0.535,0.422,2.71637538080996e-14,"2","Smoc1"
"Diaph21",1.73821544749586e-18,0.598106065950919,0.664,0.61,3.52231978280561e-14,"2","Diaph2"
"Kcng3",1.87589981396684e-18,0.511127230731156,0.307,0.18,3.80132338302241e-14,"2","Kcng3"
"Malt1",2.82690066623971e-18,0.467452391046118,0.339,0.208,5.72843151006815e-14,"2","Malt1"
"Etnk2",3.4654089529002e-18,0.553973289082144,0.441,0.34,7.02230470215696e-14,"2","Etnk2"
"Ddr1",4.66639340282561e-18,0.623013456147208,0.461,0.345,9.45597959148581e-14,"2","Ddr1"
"Isyna1",4.93701833396465e-18,0.699935453139671,0.582,0.587,1.0004373951946e-13,"2","Isyna1"
"Igdcc4",9.06318577119653e-18,0.358472106610757,0.323,0.193,1.83656396467526e-13,"2","Igdcc4"
"Auts2",9.07562672327163e-18,0.5153458104692,0.785,0.717,1.83908499920376e-13,"2","Auts2"
"mt-Nd4",1.00170714439808e-17,0.320038861558881,0.971,0.951,2.02985935740826e-13,"2","mt-Nd4"
"Apoe",1.40981789370444e-17,0.510112874793671,0.462,0.308,2.85685497980267e-13,"2","Apoe"
"mt-Atp6",1.5574929854938e-17,0.28690468606957,0.968,0.959,3.15610378580465e-13,"2","mt-Atp6"
"Tle2",2.20559055576585e-17,0.392691275518172,0.378,0.247,4.46940870220393e-13,"2","Tle2"
"Fam110b",2.59446755203723e-17,0.609298452839603,0.413,0.297,5.25742904744824e-13,"2","Fam110b"
"Pip5k1b",3.03481175494823e-17,0.597312629136376,0.459,0.346,6.1497425402271e-13,"2","Pip5k1b"
"Gm37350",4.32131028049572e-17,0.455527982320043,0.309,0.183,8.75670315239652e-13,"2","Gm37350"
"Rnf43",5.12737923757006e-17,0.291760268114419,0.253,0.135,1.0390121287012e-12,"2","Rnf43"
"Wwox",5.89805698511607e-17,0.523109143647902,0.71,0.66,1.19518226746392e-12,"2","Wwox"
"Slc35d1",6.47354343183822e-17,0.708424274871486,0.472,0.39,1.3117988410277e-12,"2","Slc35d1"
"Hsd11b2",8.79336541155185e-17,0.612856064408891,0.427,0.313,1.78188756699687e-12,"2","Hsd11b2"
"Col4a2",9.82082567863325e-17,0.291444604023174,0.293,0.157,1.99009211551824e-12,"2","Col4a2"
"Nectin2",1.03470259015549e-16,0.523628781510313,0.425,0.313,2.09672132869108e-12,"2","Nectin2"
"Zbtb46",1.08137971043616e-16,0.466848878356348,0.343,0.215,2.19130784522784e-12,"2","Zbtb46"
"Ccnjl",1.13817698998166e-16,0.572682838965653,0.315,0.198,2.30640185249883e-12,"2","Ccnjl"
"Gstm2",1.32554556753288e-16,1.01918969454908,0.521,0.503,2.68608553804862e-12,"2","Gstm2"
"Hmgcs2",1.54491868870073e-16,0.567544786902261,0.594,0.572,3.13062323078315e-12,"2","Hmgcs2"
"Mgat5",2.79170061633503e-16,0.703800788813315,0.527,0.47,5.6571021289413e-12,"2","Mgat5"
"Znrf1",5.17764466622251e-16,0.683266618766038,0.633,0.607,1.04919791516333e-11,"2","Znrf1"
"Pde10a1",5.25694170623065e-16,0.250026616501722,0.376,0.226,1.06526666735058e-11,"2","Pde10a"
"Sik31",5.96898499236605e-16,0.43764542382315,0.846,0.801,1.20955511885306e-11,"2","Sik3"
"Cd320",6.10321134116101e-16,0.623778244004543,0.561,0.52,1.23675474617287e-11,"2","Cd320"
"mt-Nd1",9.02786410146613e-16,0.284915771882527,0.935,0.915,1.8294063815211e-11,"2","mt-Nd1"
"Cyp2s1",9.13248479499751e-16,0.63754508496109,0.413,0.297,1.85060671885829e-11,"2","Cyp2s1"
"Wipf3",1.3049986878516e-15,0.252899040400171,0.267,0.149,2.64444934106248e-11,"2","Wipf3"
"Kank3",1.51304224219392e-15,0.400303494753634,0.339,0.223,3.06602879958175e-11,"2","Kank3"
"Slc25a42",1.99866144608045e-15,0.598215125865948,0.456,0.35,4.05008755433742e-11,"2","Slc25a42"
"Gm2044",2.98043886237489e-15,0.613260645432101,0.339,0.22,6.03956131071648e-11,"2","Gm2044"
"Mageb18",3.12403280118228e-15,0.367407172108474,0.237,0.123,6.33054006831577e-11,"2","Mageb18"
"Zeb1",3.32068395265282e-15,0.589928714267548,0.611,0.553,6.72903396165568e-11,"2","Zeb1"
"Rras2",3.95806951031576e-15,0.730750472836084,0.462,0.384,8.02063205570385e-11,"2","Rras2"
"Daam2",5.633393180215e-15,0.439435169025725,0.356,0.241,1.14155079403877e-10,"2","Daam2"
"Clstn2",9.46166586497451e-15,0.687157253888216,0.518,0.42,1.91731197087843e-10,"2","Clstn2"
"Rap2b",1.0228594049933e-14,0.733334351233826,0.51,0.468,2.07272229827843e-10,"2","Rap2b"
"Minar2",1.22644588390087e-14,0.327262328115403,0.313,0.203,2.48526993913672e-10,"2","Minar2"
"Usp9x",1.92600591080223e-14,0.384202319495095,0.704,0.703,3.90285837764964e-10,"2","Usp9x"
"Axl",1.96366497222348e-14,0.603184341008631,0.464,0.375,3.97917069971366e-10,"2","Axl"
"mt-Nd2",1.99131234386474e-14,0.256712397700209,0.96,0.949,4.0351953336075e-10,"2","mt-Nd2"
"Dsp",2.33338450599961e-14,0.676558187742934,0.49,0.404,4.7283703629576e-10,"2","Dsp"
"C1qtnf71",2.88186779820097e-14,0.25799381367518,0.398,0.253,5.83981690627444e-10,"2","C1qtnf7"
"Wwtr11",3.75151904176518e-14,0.774865282909538,0.633,0.604,7.60207818623297e-10,"2","Wwtr1"
"Map3k1",5.99627386491437e-14,0.522740415680745,0.425,0.336,1.21508493598625e-09,"2","Map3k1"
"Ncor2",6.39136931496844e-14,0.605235636937442,0.525,0.48,1.2951470779852e-09,"2","Ncor2"
"Strn3",9.63578719554658e-14,0.513056045453423,0.736,0.715,1.95259591730556e-09,"2","Strn3"
"AU020206",1.34001856617329e-13,0.373248007702278,0.582,0.523,2.71541362249356e-09,"2","AU020206"
