"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ncor2",2.97058678922547e-247,0.281445174488373,0.091,0.557,6.01959706968649e-243,"0","Ncor2"
"Fam120a",3.37796892614465e-247,0.32841110902759,0.101,0.581,6.84511623193952e-243,"0","Fam120a"
"Dmxl1",1.40131075685587e-246,0.25097970037719,0.077,0.526,2.83961611769274e-242,"0","Dmxl1"
"Wdr43",1.4023657946529e-246,0.270410226228758,0.08,0.533,2.84175404628465e-242,"0","Wdr43"
"Rptor",5.37109726373699e-246,0.265114356704107,0.074,0.518,1.08839914952366e-241,"0","Rptor"
"Nsmce4a",9.2209802465176e-245,0.262432728840024,0.092,0.557,1.86853943715433e-240,"0","Nsmce4a"
"Zranb1",1.59865683179836e-244,0.287185189112139,0.105,0.585,3.23951820395619e-240,"0","Zranb1"
"Smg1",3.13680516505679e-244,0.324330638618561,0.093,0.557,6.35642198647108e-240,"0","Smg1"
"Ddx46",9.07868253332941e-244,0.32477399844181,0.117,0.611,1.83970422855387e-239,"0","Ddx46"
"Fkbp4",1.10914566887314e-243,0.283752730983187,0.132,0.646,2.24757278340454e-239,"0","Fkbp4"
"Cct2",2.10580323988197e-243,0.261809715036153,0.176,0.745,4.26719968529682e-239,"0","Cct2"
"Rbm25",7.32967267508578e-243,0.322815297207089,0.196,0.788,1.48528487087938e-238,"0","Rbm25"
"Usp48",1.22098869135395e-242,0.365452628542436,0.102,0.578,2.47421148415964e-238,"0","Usp48"
"Arhgdia",1.95552862508913e-242,0.265203975378932,0.1,0.569,3.96268320588062e-238,"0","Arhgdia"
"Prrc2a",2.69844063287874e-242,0.326734439360127,0.1,0.574,5.46812009846547e-238,"0","Prrc2a"
"Nono",5.83980646225785e-242,0.30878200897835,0.131,0.638,1.18337838151193e-237,"0","Nono"
"Dnajb6",2.23277823135923e-241,0.399028460525176,0.151,0.684,4.52450180802634e-237,"0","Dnajb6"
"Dlgap4",2.98777420520437e-241,0.271912289384183,0.078,0.521,6.05442564942614e-237,"0","Dlgap4"
"Psmb7",4.25474294973383e-241,0.253407887390608,0.1,0.57,8.62181111334063e-237,"0","Psmb7"
"Sec31a",7.63852529365239e-241,0.264954223184123,0.08,0.525,1.54787076550572e-236,"0","Sec31a"
"Nudc",1.29404303073697e-240,0.323817023299154,0.155,0.696,2.62224879748539e-236,"0","Nudc"
"Myo10",1.48913635609915e-240,0.328222635391208,0.131,0.638,3.01758591199932e-236,"0","Myo10"
"Mapre1",9.25376762943606e-240,0.296253518069883,0.117,0.602,1.87518347242892e-235,"0","Mapre1"
"P4hb",9.74920918596054e-240,0.254885426622419,0.185,0.757,1.97557974944304e-235,"0","P4hb"
"G3bp2",9.93938035537692e-240,0.287872209595327,0.109,0.588,2.01411603521358e-235,"0","G3bp2"
"Agap1",3.4222130475068e-239,0.337602088679418,0.132,0.64,6.93477251946778e-235,"0","Agap1"
"Chd3",1.69449674118961e-238,0.337831399560946,0.137,0.648,3.43372819634664e-234,"0","Chd3"
"Itsn1",1.91780522635893e-238,0.325432119488162,0.136,0.649,3.88624051069373e-234,"0","Itsn1"
"Kdm5a",3.07795523329311e-238,0.395039956000895,0.095,0.557,6.23716848474516e-234,"0","Kdm5a"
"Herc2",4.14556858719151e-238,0.254136458482352,0.077,0.515,8.40058018508488e-234,"0","Herc2"
"Pds5a",6.33119273006e-238,0.257872076604858,0.085,0.533,1.28295289481936e-233,"0","Pds5a"
"Dnmt3a",8.43367887662571e-238,0.39501411166395,0.111,0.591,1.70900068755943e-233,"0","Dnmt3a"
"Lrp1",9.31336888576526e-238,0.304168503151234,0.187,0.757,1.88726107101147e-233,"0","Lrp1"
"Hdac4",1.04042149331523e-237,0.276449993793645,0.075,0.511,2.10831011405399e-233,"0","Hdac4"
"Arid2",1.4810158003357e-237,0.383568292058335,0.119,0.611,3.00113041780026e-233,"0","Arid2"
"Rad23b",3.79300654586286e-236,0.260334763609423,0.089,0.541,7.6861484645365e-232,"0","Rad23b"
"Tcf25",6.66006380513977e-236,0.440054698765159,0.168,0.718,1.34959532947352e-231,"0","Tcf25"
"Cmip",3.68801393034659e-235,0.407899088649079,0.11,0.585,7.47339142845433e-231,"0","Cmip"
"Camk2g",4.36503541206949e-235,0.278945963354024,0.096,0.554,8.84530775901762e-231,"0","Camk2g"
"Ddx39b",1.67378747721542e-234,0.333933793947058,0.128,0.623,3.39176294382933e-230,"0","Ddx39b"
"Ubr4",5.58577891120968e-234,0.256864560027048,0.07,0.494,1.13190223856753e-229,"0","Ubr4"
"Eif4g1",7.37535832186841e-234,0.340265742079458,0.129,0.626,1.49454261034342e-229,"0","Eif4g1"
"Dazap1",5.99863510492946e-233,0.285497445387377,0.086,0.53,1.21556341766291e-228,"0","Dazap1"
"Csnk1d",7.93882422204738e-233,0.309708195416104,0.085,0.527,1.60872334035568e-228,"0","Csnk1d"
"Mark2",9.99528580562377e-233,0.352237844318743,0.087,0.533,2.0254447156516e-228,"0","Mark2"
"Huwe1",1.01123280354188e-232,0.381551720385053,0.173,0.726,2.04916215309726e-228,"0","Huwe1"
"Mdm4",4.16854549296778e-232,0.336491871209272,0.088,0.533,8.4471405869499e-228,"0","Mdm4"
"Prkce",1.03552868827641e-231,0.309113300652432,0.093,0.544,2.09839533392331e-227,"0","Prkce"
"Pdia6",1.19380045802481e-231,0.322676056623554,0.194,0.769,2.41911724814149e-227,"0","Pdia6"
"Sec61a1",1.20581569437282e-231,0.315107596761903,0.099,0.557,2.44346492307708e-227,"0","Sec61a1"
"Srsf6",1.06486432736224e-230,0.427302641080512,0.13,0.622,2.15784107296685e-226,"0","Srsf6"
"Chd1",8.10002232823489e-230,0.281386498919336,0.088,0.529,1.64138852459352e-225,"0","Chd1"
"Eif2s1",8.74779971223341e-230,0.320271109870277,0.094,0.543,1.77265413368698e-225,"0","Eif2s1"
"Sf1",1.60938234613342e-229,0.256843425987472,0.073,0.497,3.26125238620476e-225,"0","Sf1"
"Ewsr1",2.50861868737157e-229,0.35754757356712,0.115,0.588,5.08346490808974e-225,"0","Ewsr1"
